Model,RMSE,MAE,R2,MAPE,Variance_Diff,Num_Samples
RandomForest,13.71826245653491,10.67212895165859,0.8764213676193231,9.931557832635853,476.1895552428639,72
XGBoost,8.846308842793087,5.892804675632054,0.9486110949152845,5.716575726528697,262.4245860460069,72
LSTM,6.529033196319153,4.818668333689372,0.9720074203142671,5.468806777939919,96.65468858506938,72
GRU,6.015554229302463,4.355957720014785,0.9762372629558216,4.975137075444971,38.31716417100688,72
BiLSTM,6.890615330420438,5.464894972907173,0.9688210718091648,6.032720284129865,59.87814832899312,72
BiGRU,5.965348954017519,3.9924378183152935,0.9766322511190221,4.601231432565695,43.09653211805562,72
Enhanced_BiLSTM,7.087111033995403,4.9192381117079,0.9670174945000592,4.966830760551758,194.32924913194438,72
Enhanced_BiGRU,7.634020278587091,5.759942393832738,0.9617305881109417,5.906085519140138,188.31472276475688,72
Transformer,7.000144682541974,5.089260694715714,0.967821988516085,5.79159300261876,217.99265028211812,72
Enhanced_Transformer,6.329437583405816,4.850241523318821,0.9736927523776309,5.861009932375598,136.24203993055562,72
